Sentence,Label,ID
"in light of both our holding today and previous rulings in johnson, dueser, and gronroos, we now explicitly overrule dupree.",overruling,0
"see  mciver, 134 n.c.app. at 588, 518 s.e.2d at 526.",not overruling,1
"to the extent that paprskar v. state, supra, applied the general test of waiver of constitutional rights set forth in johnson v. zerbst, supra, it is no longer viable.",overruling,2
"we reverse and remand, and in doing so, we overrule commonwealth v. constant",overruling,3
"to the extent that other cases have cited carr for the proposition that a conviction under section 245(a)(2) does not involve moral turpitude, those cases, too, are overruled in that limited way.",overruling,4
"accordingly, it is overruled.",overruling,5
grigsby has since unsuccessfully filed multiple 28 u.s.c.  2255 motions to vacate his sentence.,not overruling,6
"id., at 386387.",not overruling,7
the following facts are taken from the administrative record.,not overruling,8
"schweiker v. hansen, 450 u. s. 785, 791 (1981) (marshall, j., dissenting).",not overruling,9
we recognize that this reading of fager disapproves prior cases.,overruling,10
this is not allowable.,not overruling,11
" narrowstep, 2010 wl 5422405, at *12.",not overruling,12
"transfer of property from a parent to a child is presumed to be a gift, and the presumption may only be overcome by clear and convincing evidence to the contrary."""").",not overruling,13
"accordingly, to the extent of any conflict nemecek v. state, 621 s.w.2d 404 (tex.cr.app. 1980) is overruled.",overruling,14
tenn. sup. ct. r. 14.,not overruling,15
"see id.  275(a)(4) (""""no deduction shall be allowed for the following taxes: . . . excess profits taxes imposed by the authority of any foreign country . . . if the taxpayer chooses to take to any extent the benefits of [] 901.""""); 26 c.f.r.  1.901-1(h)(2) (""""taxpayers who are denied the credit for taxes for particular taxable years are the following: . . . [a] taxpayer who elects to  deduct taxes paid or accrued to any foreign country . . . [pursuant to sections] 164 and 275."""").",not overruling,16
"incompetence may occur at various points after conviction, and it may recede and later reoccur.",not overruling,17
we therefore overrule mata and hartman to the extent of the conflict and reverse the trial court's judgment and remand the cause for a new trial.,overruling,18
"490 f.3d 575, 580-81 (7th cir. 2007).",not overruling,19
"app. 1981), or voninski v. voninski, 661 s.w.2d 872, 878-79 (tenn.",overruling,20
"more importantly, a sufficient factual basis exists here because mccoy stipulated he """"was a member of a conspiracy with others, in gaston county . . . to distribute and to possess with intent to distribute cocaine base, commonly known as 'crack cocaine.'""""",not overruling,21
the decision of the fourth district court of appeal holding section 550.081 unconstitutional is disapproved.,overruling,22
the court noted at the outset that the guarantees of that constitutional provisionfreedom from discrimination in housing and employmenthad been legislatively implemented through the illinois human rights act.,not overruling,23
"we are fully in accord with the relaxation of the federal requirements as expressed in illinois v. gates, supra, and to the extent that berkshire v. commonwealth, supra; thompson v. commonwealth, supra; and buchenburger v. commonwealth, supra, express a contrary view, they are overruled.",overruling,24
"see scott, supra at 352; commonwealth v. ruffin, 475 mass. 1003, 1004 (2016).",not overruling,25
"for the reasons stated below, we approve the fifth district court of appeal's decision in winter park, and disapprove the decision in belleair to the extent described herein.",overruling,26
"however, to the extent that cervantes, and ex parte mcatee, 599 s.w.2d 335 (tex.crim.app. 1980), indicate that a failure to admonish pursuant to art. 26.13(a)(4) automatically entitles one to post-conviction collateral relief without a showing of harm, they are overruled.",overruling,27
"having reviewed the question en banc, we now answer that question in the affirmative and overrule laffey.",overruling,28
"in people v. correa (2012) 54 cal.4th 331, 142 cal.rptr.3d 546, 278 p.3d 809, also decided today, we are disapproving language in one of our cases to bring our section 654 jurisprudence closer to the statutory language.",overruling,29
"in reaching that conclusion, we recede from the previous holding of this court in hall v. state, 505 so.2d 657, 658 (fla. 2d dca), cause dismissed, 509 so.2d 1117 (fla. 1987), in which we stated that an essential element of proof in regard to the crime of robbery is ""that the accused had the specific intent to permanently deprive the owner of property.",overruling,30
