Paper title,Organization name,Label,ID
3Gb/s AC-coupled chip-to-chip communication using a low-swing pulse receiver,"North Carolina State Univ.,Raleigh,NC,USA",university,0
Sub-Micron CMOS / MOS-Bipolar Hybrid TFTs for System Displays,"Advanced LCD Technology Development Center Company Limited, Yokohama, Kanagawa, Japan",company,1
24.4 A 680nA fully integrated implantable ECG-acquisition IC with analog feature extraction,"imec,Heverlee,Belgium",research institute,2
A write-back cache memory using bit-line steal technique,"Corp. Semicond. Dev. Div.,Matsushita Electr. Ind. Co. Ltd.,Kyoto,Japan",company,3
High performance 0.25 /spl mu/m gate-length doped-channel AlGaN/GaN heterostructure field effect transistors grown on p-type SiC substrates,"APA Optics, Inc., Blaine, MN, USA",company,4
3-terminal nanoelectromechanical switching device in insulating liquid media for low voltage operation and reliability improvement,"National NanoFab Center, Daejeon, South Korea",research institute,5
Full metal gate with borderless contact for 14 nm and beyond,"Toshiba at Albany NanoTech,NY,USA",company,6
A novel self-aligned shallow trench isolation cell for 90 nm 4 Gbit NAND flash EEPROMs,"SoC R&D Center,Semiconductor Company,Toshiba Corp.,Isogo-ku,Yokohama,Japan",company,7
A 0.13/spl mu/m CMOS EDGE/UMTS/WLAN Tri-Mode /spl Delta//spl Sigma/ ADC with -92dB THD,"ETH,Zurich,Switzerland; Advanced Circuit Pursuit,Zollikon,Switzerland",university,8
On the gate oxide scaling of high performance CMOS transistors,"Semiconductor R&D Center, Samsung Electronics Co., Ltd, Yongin-City, Gyeonggi-Do, Korea (ROK)",company,9
A 0.13/spl mu/m CMOS EDGE/UMTS/WLAN Tri-Mode /spl Delta//spl Sigma/ ADC with -92dB THD,"Advanced Circuit Pursuit,Zollikon,Switzerland; ETH,Zurich,Switzerland",company,10
A 3Gb/s 8b single-ended transceiver for 4-drop DRAM interface with digital calibration of equalization skew and offset coefficients,"Pohang Univ. of Sci. & Technol.,South Korea",university,11
25.5 A Self-Calibrated 1.2-to-3.8GHz 0.0052mm2 Synthesized Fractional-N MDLL Using a 2b Time-Period Comparator in 22nm FinFET CMOS,"Intel,Hillsboro,OR",company,12
Accurate performance evaluation for the horizontal nanosheet standard-cell design space beyond 7nm technology,"GLOBALFOUNDRIES Inc., Albany, NY, USA",company,13
"Front-end-of-line (FEOL) optimization for high-performance, high-reliable strained-Si MOSFETs; from virtual substrate to gate oxidation","Memory Division, Samsung Electronics Co, Yongin-City, Gyeonggi-Do, Korea",company,14
A 14 b 100 Msample/s CMOS DAC designed for spectral performance,"Illinois Univ.,Urbana,IL,USA",university,15
Design of the Power6 Microprocessor,"IBM Systems Group,Austin,TX",company,16
Collective-effect state variables for post-CMOS logic applications,"Strategic Technology Group,Advanced Micro Devices,Sunnyvale,CA,USA",company,17
Single-chip IF transceiver IC with wide dynamic range variable gain amplifiers for wideband CDMA applications,"Syst. LSI Dev. Center,Mitsubishi Electr. Corp.,Hyogo,Japan",company,18
Formation of Si-on-Insulator Structure by Lateral Solid Phase Epitaxial Growth with Local P-Doping,"Central Research Laboratory,Hitachi Ltd. Kokubunji. Tokyo,Japan",company,19
1D thickness scaling study of phase change material (Ge2Sb2Te5) using a pseudo 3-terminal device,"Samsung Electronics Company Limited, Yongin si, Gyeonggi, South Korea",company,20
A 500MHz multi-banked compilable DRAM macro with direct write and programmable pipelining,"IBM Microelectron.,Burlington,VT,USA",company,21
Dislocation engineering for a silicon-based light emitter at 1.5 /spl mu/,"MPI für Mikrostrukturphysik, Halle, Germany",research institute,22
An enhanced 130 nm generation logic technology featuring 60 nm transistors optimized for high performance and low power at 0.7 - 1.4 V,"QRE, Hillsboro, OR, USA",company,23
Physical understanding of Vth and Idsat variations in (110) CMOSFETs,"Center for Semiconductor Research & Development,Toshiba Corporation,Japan",company,24
Destructive-read random access memory system buffered with destructive-read memory cache for SoC applications,"IBM Microelectron.,Hopewell Junction,NY,USA",company,25
Benchmarking of monolithic 3D integrated MX2 FETs with Si FinFETs,"KUL, Leuven, Belgium",university,26
A 48-mW 18-Gb/s fully integrated CMOS optical receiver with photodetector and adaptive equalizer,"Applied Science and Technology Research Institute,Hong Kong",research institute,27
Role of non-radiative recombination in the degradation of InGaN-based laser diodes,"Matsushita Electric Industrial Limited, Takatsuki, Osaka, Japan",company,28
