Title,Abstract,Authors,Journal,Label,ID
Prototyping and transforming facial textures for perception research,Wavelet based methods for prototyping facial textures for artificially transforming the age of facial images were described. Prototype images were used to define the salient features of a particular face classification. Two experiments were conducted to validate the ability of wavelet processing method to capture age information. The first experiment validated the textured prototyping method while the second experiment investigated the effectiveness of the new age transformation technique. The shape and color transformation used to rejuvenate faces hardly affected the apparent age. The average hair color change during rejuvenation was not sufficient to project the hair color in normal range for the younger age group.,"Tiddeman, B.; Burt, M.; Perrett, D.",IEEE Comput Graphics Appl,not included,0
School finance reform and voluntary fiscal federalism,"California has transferred the financing of its public schools from localities to the state. In response, many families have supplemented the tax revenue of their local public schools with voluntary contributions. This paper analyzes that phenomenon. We propose a model of partial cooperation among parents in making voluntary contributions to their public schools. Under reasonable conditions, the model predicts that contributions per pupil should decline with school size. We estimate this relationship using data on contributions to California schools. Our estimates reveal that contributions per pupil do decline with size; however, the rate of decline is surprisingly slow. © 2002 Elsevier B.V. All rights reserved.","Brunner, E.; Sonstelie, J.",J. Public Econ.,not included,1
When Should the Ask Be a Nudge? The Effect of Default Amounts on Charitable Donations,,"Goswami, I.; Urminsky, O.",Journal of Marketing Research,not included,2
"Intra-organizational volunteerism: Good soldiers, good deeds and good politics","Despite the millions of hours donated to charity each year by employees on behalf of their employers there has been relatively little research into the motives for such pro-social behavior. The current paper extends Peterson's (2004, Journal of Business Ethics 49, 371) study by exploring a unique form of employee volunteerism identified as intra-organizational, or employer-sanctioned volunteerism, and uniting the heretofore distinct charity support and organizational citizenship behavior literatures. Results of a preliminary study revealed that employee participation in such intra-organizational volunteer programs is motivated by charity, firm, and personal benefits. Managerial and research implications are presented. © Springer 2006.","Peloza, J.; Hassay, D.N.",J. Bus. Ethics,not included,3
Implicit vs. Explicit deception in ultimatum games with incomplete information,"We explore bargaining, using ultimatum games, when one party, the proposer, possesses private information about the pie size and can either misrepresent this information through untruthful statements (explicit deception) or through information-revealing actions (implicit deception). Our study is the first such direct comparison between two ways in which people can deceive. We find that requiring informed parties to make an explicit statement yields greater deception than when information is communicated implicitly, particularly for larger stakes. However, allowing the explicit statement to be accompanied by a promise of truthfulness reverses this effect. In contrast with many previous studies, we generally observe very high frequencies of dishonesty. © 2013 Elsevier B.V.","Kriss, P.H.; Nagel, R.; Weber, R.A.",J. Econ. Behav. Organ.,not included,4
"Why people choose teaching: A scoping review of empirical studies, 2007–2016","Who enters teaching and why are questions of immense social and political importance throughout the world. This paper presents a scoping review of empirical studies, published between 2007 and 2016, that addressed influences on the choice of teaching as a career. Seventy articles were analysed descriptively and substantively. Our overview of the nature, extent, and range of research published in these articles highlights that most studies focus on motivations for teaching, with intrinsic and altruistic motivations most commonly identified. We argue that a broader range of theoretical perspectives could add fresh insights to the question of why people choose teaching. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Fray, Leanne; Gore, Jennifer",Teaching and Teacher Education,not included,5
Persuasion: Theory & Research,,"O’Keefe, D.J.",Persuasion: Theory and research,not included,6
Being sticker rich: Numerical context influences children's sharing behavior,"Young children spontaneously share resources with anonymous recipients, but little is known about the specific circumstances that promote or hinder these prosocial tendencies. Children (ages 3-11) received a small (12) or large (30) number of stickers, and were then given the opportunity to share their windfall with either one or multiple anonymous recipients (Dictator Game). Whether a child chose to share or not varied as a function of age, but was uninfluenced by numerical context. Moreover, children's giving was consistent with a proportion- based account, such that children typically donated a similar proportion (but different absolute number) of the resources given to them, regardless of whether they originally received a small or large windfall. The proportion of resources donated, however, did vary based on the number of recipients with whom they were allowed to share, such that on average, children shared more when there were more recipients available, particularly when they had more resources, suggesting they take others into consideration when making prosocial decisions. Finally, results indicated that a child's gender also predicted sharing behavior, with males generally sharing more resources than females. Together, findings suggest that the numerical contexts under which children are asked to share, as well as the quantity of resources that they have to share, may interact to promote (or hinder) altruistic behaviors throughout childhood. © 2015 Posid et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Posid, T.; Fazio, A.; Cordes, S.",PLoS ONE,not included,7
What's in a message? The longitudinal influence of a supportive versus combative orientation on the performance of nonprofits,,"Botner, K.A.; Mishra, A.; Mishra, H.",Journal of Marketing Research,not included,8
Advancing Measurement and Research on Youths’ Prosocial Behavior in the Digital Age,"Widespread access to digital and social media has drastically altered the nature of youth’s interpersonal connections. In this context, the opportunities children and adolescents have to help people around them are rapidly evolving. In this article, we review emerging literature on how digital media influences youth’s prosocial development in new ways. Then we propose the next steps for advancing the field’s understanding of youth’s prosocial behavior in the digital age. We advocate for extending existing measures to capture experiences that are increasingly relevant for children and adolescents today, with a focus on current events, including the COVID-19 pandemic, and social and political activism. We also provide a research agenda to advance the understanding of prosocial development. © 2021 The Authors Child Development Perspectives © 2021 The Society for Research in Child Development","Armstrong-Carter, E.; Telzer, E.H.",Child Dev. Perspect.,not included,9
