Tweet text,Label,ID
@HMRCcustomers No this is my first job,no complaint,0
"@KristaMariePark Thank you for your interest! If you decide to cancel, you can call Customer Care at 1-800-NYTIMES.",no complaint,1
If I can't get my 3rd pair of @beatsbydre powerbeats to work today I'm doneski man. This is a slap in my balls. Your next @Bose @BoseService,complaint,2
@EE On Rosneath Arial having good upload and download speeds but terrible latency 200ms. Why is this.,complaint,3
"Couples wallpaper, so cute. :) #BrothersAtHome",no complaint,4
"@mckelldogs This might just be me, but-- eyedrops? Artificial tears are so useful when you're sleep-deprived and sp… https://t.co/WRtNsokblG",no complaint,5
@Yelp can we get the exact calculations for a business rating (for example if its 4 stars but actually 4.2) or do we use a 3rd party site?,no complaint,6
@nationalgridus I have no water and the bill is current and paid. Can you do something about this?,complaint,7
"Never shopping at @MACcosmetics again. Every time I go in there, their employees are super rude/condescending. I'll take my $$ to @Sephora",complaint,8
@JenniferTilly Merry Christmas to as well. You get more stunning every year ��,no complaint,9
@NortonSupport Thanks much.,no complaint,10
@VerizonSupport all of a sudden I can't connect to my primary wireless network but guest one works,no complaint,11
Aaaahhhhh!!!! My @Razer @PlayOverwatch d.va meka headset came in!!! I didn't even know it had shipped!!! So excited… https://t.co/4gXy9xED8d,no complaint,12
@Lin_Manuel @jmessinaphoto @VAMNit Omg a little squish!!!!! Enjoy and congrats!!!! I miss mine being so young! ������,no complaint,13
@IanJamesPoulter What's your secret to poaching eggs? Mine NEVER look that good.,no complaint,14
@AWSSupport When will be able Kinesis Firehose compatible with Elasticsearch 6.0? Thank you!,no complaint,15
@NCIS_CBS https://t.co/eeVL9Eu3bE,no complaint,16
@msetchell Via the settings? That’s how I do it on master T’s,no complaint,17
"Today at work there was a low flying duck heading toward a crowd of people, and I yelled ""watch out! and I'm very disappointed with myself.",no complaint,18
@NortonSupport @NortonOnline What the hell is a dm 5-10 days to get money back bank account now overdrawn thanks guys,complaint,19
@united not happy with this delay from Newark to Manchester tonight :( only 30 mins free Wi-fi sucks ...,complaint,20
@ZARA_Care I've been waiting on a reply to my tweets and DMs for days now?,complaint,21
"New Listing! Large 2 Family Home for Sale in #Passaic Park, #NJ #realestate #homesforsale Great Location!… https://t.co/IV4OrLXkMk",no complaint,22
@SouthwestAir I love you but when sending me flight changes please don't use military time #ignoranceisbliss,complaint,23
@JetBlue Completely understand but would prefer being on time to filling out forms....,no complaint,24
@nvidiacc I own two gtx 460 in sli. I want to try windows 8 dev preview. Which driver should I use. Can I use the windows 7 one.,no complaint,25
Just posted a photo https://t.co/RShFwCjPHu,no complaint,26
Love crescent rolls? Try adding pesto @PerdueChicken to them and you’re going to love it! #Promotion #PerdueCrew -… https://t.co/KBHOfqCukH,no complaint,27
@TopmanAskUs please just give me my money back.,complaint,28
I just gave 5 stars to Tracee at @neimanmarcus for the great service I received!,no complaint,29
@FitbitSupport when are you launching new clock faces for Indian market,no complaint,30
@HPSupport my printer will not allow me to choose color instead it only prints monochrome #hppsdr #ijkhelp,complaint,31
@DIRECTV can I get a monthly charge double refund when it sprinkles outside and we lose reception? #IamEmbarrasedForYou,complaint,32
"@AlfaRomeoCares Hi thanks for replying, could be my internet but link doesn't seem to be working",complaint,33
Looks tasty! Going to share with everyone I know #FebrezeONE #sponsored https://t.co/4AQI53npei,no complaint,34
@OnePlus_IN can OnePlus 5T do front camera portrait?,no complaint,35
@sho_help @showtime your arrive is terrible streaming is stop and start every couple mins. Get it together it's xmas,complaint,36
@KandraKPTV I just witnessed a huge building fire in Santa Monica California,no complaint,37
@fernrocks most definitely the latter for me,no complaint,38
@greateranglia Could I ask why the Area in front of BIC Station was not gritted withh all the snow.,complaint,39
I'm earning points with #CricketRewards https://t.co/GfpGhqqnhE,no complaint,40
@Schrapnel @comcast RIP me,no complaint,41
"The wait is finally over, just joined @SquareUK, hope to get started real soon!",no complaint,42
@WholeFoods what's the best way to give feedback on a particular store to the regional/national office?,no complaint,43
@DanielNewman I honestly would believe anything. People are...too much sometimes.,no complaint,44
@asblough Yep! It should send you a notification with your driver’s name and what time they’ll be showing up!,no complaint,45
@Wavy2Timez for real,no complaint,46
@KenyaPower_Care  no power in south b area... is it scheduled.,complaint,47
Honda won't do anything about water leaking in brand new car. Frustrated! @HondaCustSvc @AmericanHonda,complaint,48
"@CBSNews @Dodge @ChryslerCares My driver side air bag has been recalled and replaced, but what about the passenger side?",complaint,49
